First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Bralon,Addison,2016.0,1.0,,,,,11.0,1.0,,,1.0,WR,2016.0,Oregon,"69,25",197.0,29.58,29.5,9.13,72.25,4.66,17.52,2.69,13 reps (225 lb),(N/A) (MPH),34.5,116.0,4.14,6.95
Mark,Adickes,1987.0,1.0,,1.0,,,3.0,,,,,G,,,,,,,,,,,,,,,,,
Margene,Adkins,1971.0,4.0,,,,,,,,,,WR,,,,,,,,,,,,,,,,,
Margene,Adkins,1972.0,9.0,,,,,,,,,,WR,,,,,,,,,,,,,,,,,
Margene,Adkins,1973.0,6.0,109.0,,,,,,,,,WR,,,,,,,,,,,,,,,,,
James,Adkisson,2006.0,1.0,,,,,9.0,,,,2.0,WR,,,,,,,,,,,,,,,,,
Erik,Affholter,1991.0,7.0,,,1.0,,20.0,6.0,0.857,,,WR,1989.0,"Southern,California","71,6",181.0,25.42,,,,4.61,,2.65,(N/A) reps (225 lb),(N/A) (MPH),31.5,,4.41,
Tommie,Agee,1988.0,3.0,,,,,13.0,,,,,RB,,,,,,,,,,,,,,,,,
Tommie,Agee,1990.0,30.0,272.0,1.0,,,30.0,,,,,RB,,,,,,,,,,,,,,,,,
Tommie,Agee,1991.0,7.0,,,,,9.0,2.0,0.28600000000000003,,,RB,,,,,,,,,,,,,,,,,
Tommie,Agee,1992.0,3.0,,,,,8.0,,,,,RB,,,,,,,,,,,,,,,,,
Tommie,Agee,1994.0,1.0,,,,,2.0,,,,,RB,,,,,,,,,,,,,,,,,
Nelson,Agholor,2015.0,23.0,283.0,1.0,3.0,2.0,53.0,11.0,0.478,1.0,44.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Nelson,Agholor,2016.0,36.0,365.0,2.0,3.0,1.0,40.0,15.0,0.41700000000000004,1.0,70.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Nelson,Agholor,2017.0,62.0,768.0,8.0,9.0,3.0,72.0,35.0,0.565,,95.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Nelson,Agholor,2018.0,64.0,736.0,4.0,10.0,5.0,83.0,28.0,0.43799999999999994,1.0,97.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Nelson,Agholor,2019.0,39.0,363.0,3.0,5.0,1.0,43.0,17.0,0.436,2.0,69.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Nelson,Agholor,2020.0,48.0,896.0,8.0,15.0,5.0,85.0,37.0,0.7709999999999999,,82.0,WR,2015.0,"Southern,California","72,13",198.0,27.4,32.25,9.25,77.375,4.42,,2.59,12 reps (225 lb),(N/A) (MPH),,,,
Jamal,Agnew,2017.0,2.0,,,,,12.0,1.0,0.5,,2.0,WR,,,,,,,,,,,,,,,,,
Jamal,Agnew,2019.0,1.0,,,,,,,,,2.0,WR,,,,,,,,,,,,,,,,,
Jamal,Agnew,2020.0,13.0,,,1.0,,20.0,4.0,0.308,,20.0,WR,,,,,,,,,,,,,,,,,
Ray,Agnew,2014.0,3.0,,,,,12.0,1.0,0.33299999999999996,,9.0,RB,,,,,,,,,,,,,,,,,
